ICD10 章,標準病名,代表・同義,ICD10コード,交換コード,関係,ICD11 Foundation URI,関係,MMS
1,アジアコレラ,L,A000,GQ3B,=,http://id.who.int/icd/entity/257068234,=,1A00
1,アジア型コレラ,S1,A000,GQ3B,=,http://id.who.int/icd/entity/257068234,=,1A00
1,古典型コレラ,S1,A000,GQ3B,=,http://id.who.int/icd/entity/1205958647,=,1A00 & XN8P1
1,真性コレラ,L,A000,MVRU,=,http://id.who.int/icd/entity/1205958647,=,1A00 & XN8P1　
1,エルトールコレラ,L,A001,PMGD,=,http://id.who.int/icd/entity/581614179,=,1A00 & XN62R
1,エルトール型コレラ,S1,A001,PMGD,=,http://id.who.int/icd/entity/581614179,=,1A00 & XN62R
1,コレラ,L,A009,AEJG,=,http://id.who.int/icd/entity/257068234,=,1A00 
1,偽性コレラ,L,A009,JDNQ,=,http://id.who.int/icd/entity/840750347,=,1A22
1,腸チフス,L,A010,EDG9,=,http://id.who.int/icd/entity/1528414070,=,1A07.Z
1,扁桃チフス,L,A010,J6PN,=,http://id.who.int/icd/entity/1528414070 / http://id.who.int/icd/entity/1752991130,=,1A07.Y / CA03.Y
1,腸チフス性心筋炎,L,A010,JR0A,=,http://id.who.int/icd/entity/1405318207,=,1A07.Y / BC42.1
1,チフス性胆のう炎,L,A010,JUMN,=,http://id.who.int/icd/entity/1528414070 / http://id.who.int/icd/entity/786251500,=,1A07. Z / DC12.Z
1,チフス性胆嚢炎,S1,A010,JUMN,=,http://id.who.int/icd/entity/1528414070 /  http://id.who.int/icd/entity/786251500,=,1A07. Z / DC12.Z
1,咽頭チフス,L,A010,N89L,=,http://id.who.int/icd/entity/1528414070 /  http://id.who.int/icd/entity/1791890273,=,1A07.Y / CA02.Y
1,エーベルト病,L,A010,QDNJ,=,http://id.who.int/icd/entity/1528414070,=,1A07.Z
1,腸チフス性肺炎,L,A010,T4JE,=,http://id.who.int/icd/entity/1890032609,=,1A07.Y / CA40.0
1,腸チフス肺炎,S1,A010,T4JE,=,http://id.who.int/icd/entity/1890032609,=,1A07.Y / CA40.0
1,腸チフス性髄膜炎,L,A010,TNFR,=,http://id.who.int/icd/entity/1631651468 / http://id.who.int/icd/entity/684930313,=,1A07.Y / 1D01.0 
1,腸チフス髄膜炎,S1,A010,TNFR,=,http://id.who.int/icd/entity/1631651468 / http://id.who.int/icd/entity/684930313,=,1A07.Y / 1D01.0 
1,腸チフス性関節炎,L,A010,U334,=,http://id.who.int/icd/entity/55117941,=,1A07.Y / FA11.Y
1,腸チフス関節炎,S1,A010,U334,=,http://id.who.int/icd/entity/55117941,=,1A07.Y / FA11.Y
1,腸チフス性心内膜炎,L,A010,VDHN,=,http://id.who.int/icd/entity/425206566,=,1A07.Y / BB40
1,パラチフスＡ,L,A011,A341,=,http://id.who.int/icd/entity/1045590756,=,1A08 & XN1K5
1,パラチフスA,S0,A011,A341,=,http://id.who.int/icd/entity/1045590756,=,1A08 & XN1K5
1,パラチフスＢ,L,A012,SB7P,=,http://id.who.int/icd/entity/1258234397,=,1A08 & XN322 
1,パラチフスB,S0,A012,SB7P,=,http://id.who.int/icd/entity/1258234397,=,1A08 & XN322 
