ICD10 章,標準病名,代表・同義,ICD10コード,交換コード,関係,ICD11 Foundation URI,関係,MMS
20,睡眠薬自殺,L,X61,LETN,=,http://id.who.int/icd/entity/1754328124,<,PC91
20,ガス自殺,L,X67,TF7L,=,http://id.who.int/icd/entity/54806485,=,PD02 
20,服毒自殺,L,X69,SS47,=,http://id.who.int/icd/entity/846307814,=,PD05
20,首吊り自殺,L,X70,VL0N,=,http://id.who.int/icd/entity/807340493,=,PC72
20,入水自殺,L,X71,CA2B,=,http://id.who.int/icd/entity/2107933048,=,PC60
20,銃自殺,L,X74,RGDS,=,http://id.who.int/icd/entity/898455971,=,PC50.Z & XE04A
20,爆死自殺,L,X75,KQBA,=,http://id.who.int/icd/entity/1196251373,=,PD25 & XE3WL
20,焼身自殺,L,X76,ETB0,=,http://id.who.int/icd/entity/417201341,=,PC8Y & XE3NR
20,飛び降り自殺,L,X80,HTSQ,=,http://id.who.int/icd/entity/1578494278,=,PC3Z
20,飛び込み自殺,L,X81,P2K6,=,http://id.who.int/icd/entity/1341355053,=,PB82
20,凍死自殺,L,X83,DKTT,=,http://id.who.int/icd/entity/2074645341 ,=,PC86
20,感電自殺,L,X83,HG1J,=,http://id.who.int/icd/entity/2056857342,=,PD21
20,自殺,L,X84,R2T7,=,http://id.who.int/icd/entity/731306388,<,PD3Z
21,健康診断,L,Z000,E88F,=,http://id.who.int/icd/entity/1987210192,=,QA00.0
21,検診,L,Z000,G04C,=,http://id.who.int/icd/entity/1987210192,=,QA00.0
21,老人健診,L,Z000,K95F,=,http://id.who.int/icd/entity/1987210192 & (http://id.who.int/icd/entity/1733780743 OR http://id.who.int/icd/entity/1276541597) ,=,QA00.0 & (XT19 or XT13)
21,健康診査,L,Z000,N2S0,=,http://id.who.int/icd/entity/1987210192,=,QA00.0
21,特定健康診査,L,Z000,T6QL,=,http://id.who.int/icd/entity/1987210192,=,QA00.0
21,特定健診,S1,Z000,T6QL,=,http://id.who.int/icd/entity/1987210192,=,QA00.0
21,乳幼児健診,L,Z001,AFBF,=,http://id.who.int/icd/entity/322545222,=,QA00.1
21,三歳児健診,L,Z001,EAN9,=,http://id.who.int/icd/entity/322545222 & http://id.who.int/icd/entity/1043777387,=,QA00.1 & XT4X
21,乳児健診,L,Z001,UL97,=,http://id.who.int/icd/entity/322545222,=,QA00.1
21,精神医学的検査,L,Z004,NFKM,=,http://id.who.int/icd/entity/1899079867,=,QA00.3
21,一般精神医学的検査,S1,Z004,NFKM,=,http://id.who.int/icd/entity/1899079867,=,QA00.3
21,精神医学検査,S1,Z004,NFKM,=,http://id.who.int/icd/entity/1899079867,=,QA00.3
21,精神神経疾患のスクリーニング,S1,Z004,NFKM,=,http://id.who.int/icd/entity/1899079867,=,QA00.3
21,集団検診,L,Z008,C154,=,http://id.who.int/icd/entity/2072731457,<,QA00.Y
21,診断書交付,L,Z027,HHM7,=,http://id.who.int/icd/entity/417566971,=,QA01.7
21,精神鑑定,L,Z046,ACRC,=,http://id.who.int/icd/entity/1512694960,=,QA04.6
21,早期胃癌ＥＭＲ後,L,Z080,HKEJ,<,http://id.who.int/icd/entity/59754796 / http://id.who.int/icd/entity/1397617262 & http://id.who.int/icd/entity/1409966790,<,QA06 / 2B72.Z & XS1G &  & XY7V 
21,早期胃癌EMR後,S0,Z080,HKEJ,<,http://id.who.int/icd/entity/59754796 / http://id.who.int/icd/entity/1397617262 & http://id.who.int/icd/entity/1409966790,<,QA06 / 2B72.Z & XS1G &  & XY7V 
21,早期胃がんEMR後,S1,Z080,HKEJ,<,http://id.who.int/icd/entity/59754796 / http://id.who.int/icd/entity/1397617262 & http://id.who.int/icd/entity/1409966790,<,QA06 / 2B72.Z & XS1G &  & XY7V 
21,早期胃癌内視鏡的治療後,S2,Z080,HKEJ,<,http://id.who.int/icd/entity/59754796 / http://id.who.int/icd/entity/1397617262 & http://id.who.int/icd/entity/1409966790,<,QA06 / 2B72.Z & XS1G &  & XY7V 
21,早期胃癌内視鏡的切除後,S2,Z080,HKEJ,<,http://id.who.int/icd/entity/59754796 / http://id.who.int/icd/entity/1397617262 & http://id.who.int/icd/entity/1409966790,<,QA06 & XY7V / 2B72.Z & XS1G 
21,早期胃がん内視鏡的切除後,S2,Z080,HKEJ,<,http://id.who.int/icd/entity/59754796 / http://id.who.int/icd/entity/1397617262 & http://id.who.int/icd/entity/1409966790,<,QA06 & XY7V / 2B72.Z & XS1G 
21,早期胃癌ＥＳＤ後,L,Z080,JGCA,<,http://id.who.int/icd/entity/59754796 / http://id.who.int/icd/entity/1397617262 & http://id.who.int/icd/entity/1409966790,<,QA06 & XY7V / 2B72.Z & XS1G 
21,早期胃癌ESD後,S0,Z080,JGCA,<,http://id.who.int/icd/entity/59754796 / http://id.who.int/icd/entity/1397617262 & http://id.who.int/icd/entity/1409966790,<,QA06 & XY7V / 2B72.Z & XS1G 
21,早期胃がんESD後,S1,Z080,JGCA,<,http://id.who.int/icd/entity/59754796 / http://id.who.int/icd/entity/1397617262 & http://id.who.int/icd/entity/1409966790,<,QA06 & XY7V / 2B72.Z & XS1G 
21,早期胃がん内視鏡的治療後,S2,Z080,JGCA,<,http://id.who.int/icd/entity/59754796 / http://id.who.int/icd/entity/1397617262 & http://id.who.int/icd/entity/1409966790,<,QA06 & XY7V / 2B72.Z & XS1G 
21,早期胃癌術後,L,Z080,SFCU,=,http://id.who.int/icd/entity/59754796 / ( http://id.who.int/icd/entity/1397617262 & http://id.who.int/icd/entity/378801232 ),=,QA06 & XY7V / 2B72.Z & XS1G 
21,早期胃がん術後,S1,Z080,SFCU,=,http://id.who.int/icd/entity/59754796 / ( http://id.who.int/icd/entity/1397617262 & http://id.who.int/icd/entity/378801232 ),=,QA06 & XY7V / 2B72.Z & XS1G 
21,胆道閉鎖症術後,L,Z090,Q0BE,=,http://id.who.int/icd/entity/527892909 / http://id.who.int/icd/entity/645741117,=,QA07.Y & XY7V / LB20.21
21,学童健診,L,Z108,B6U3,=,http://id.who.int/icd/entity/473076349,<,QA03.Y
21,胃癌検診,L,Z120,S0TC,=,http://id.who.int/icd/entity/2065113182,=,QA09.0
21,胃がん検診,S1,Z120,S0TC,=,http://id.who.int/icd/entity/2065113182,=,QA09.0
21,大腸癌検診,L,Z121,BPJ7,=,http://id.who.int/icd/entity/509406668 & http://id.who.int/icd/entity/1741413713,=,QA09.1 & XA1B13
21,大腸がん検診,S1,Z121,BPJ7,=,http://id.who.int/icd/entity/509406668 & http://id.who.int/icd/entity/1741413713,=,QA09.1 & XA1B13
21,肺癌検診,L,Z122,P565,=,http://id.who.int/icd/entity/1794227509 & http://id.who.int/icd/entity/1338477196,=,QA09.2 & XA57M6
21,肺がん検診,S1,Z122,P565,=,http://id.who.int/icd/entity/1794227509 & http://id.who.int/icd/entity/1338477196,=,QA09.2 & XA57M6
21,乳房癌検診,L,Z123,MAGN,=,http://id.who.int/icd/entity/263876769,=,QA09.3
21,乳房がん検診,S1,Z123,MAGN,=,http://id.who.int/icd/entity/263876769,=,QA09.3
21,子宮癌検診,L,Z124,N26K,=,http://id.who.int/icd/entity/2085937973,=,QA09.4
21,子宮がん検診,S1,Z124,N26K,=,http://id.who.int/icd/entity/2085937973,=,QA09.4
21,前立腺癌検診,L,Z125,SJUV,=,http://id.who.int/icd/entity/421473953,=,QA09.5
21,前立腺がん検診,S1,Z125,SJUV,=,http://id.who.int/icd/entity/421473953,=,QA09.5
21,膀胱癌検診,L,Z126,GP5B,=,http://id.who.int/icd/entity/1840414304,=,QA09.6
21,膀胱がん検診,S1,Z126,GP5B,=,http://id.who.int/icd/entity/1840414304,=,QA09.6
21,癌検診,L,Z129,G5NP,=,http://id.who.int/icd/entity/688906622,=,QA09.Z
21,がん検診,S1,Z129,G5NP,=,http://id.who.int/icd/entity/688906622,=,QA09.Z
21,ウイルス肝炎感染源への曝露,L,Z205,MR0H,=,http://id.who.int/icd/entity/877536077,=,QC90.5 
21,針刺し事故,L,Z209,QV6J,=,http://id.who.int/icd/entity/1062820800 / http://id.who.int/icd/entity/396292097 ,=,QC90.Z / PK81.F
21,感染症患者接触,L,Z209,TVMB,=,http://id.who.int/icd/entity/1062820800,=,QC90.Z
21,ＨＩＶキャリア,L,Z21,MSAN,=,http://id.who.int/icd/entity/1511167574,<,1C62.0
21,HIVキャリア,S0,Z21,MSAN,=,http://id.who.int/icd/entity/1511167574,<,1C62.0
21,ヒト免疫不全ウイルスキャリア,S1,Z21,MSAN,=,http://id.who.int/icd/entity/1511167574,<,1C62.0
21,無症候性キャリア,S2,Z21,MSAN,=,http://id.who.int/icd/entity/1511167574,<,1C62.0
21,Ｂ群溶連菌保菌者,L,Z223,HUQ2,=,http://id.who.int/icd/entity/784320171 & http://id.who.int/icd/entity/942223947,=,QD0Y & XN2M1
21,B群溶連菌保菌者,S0,Z223,HUQ2,=,http://id.who.int/icd/entity/784320171 & http://id.who.int/icd/entity/942223947,=,QD0Y & XN2M1
21,ＨＣＶキャリア,L,Z225,FNNS,=,http://id.who.int/icd/entity/784320171 & http://id.who.int/icd/entity/1209596839,=,QD0Y & XN41M
21,HCVキャリア,S0,Z225,FNNS,=,http://id.who.int/icd/entity/784320171 & http://id.who.int/icd/entity/1209596839,=,QD0Y & XN41M
21,C型肝炎ウイルスキャリア,S1,Z225,FNNS,=,http://id.who.int/icd/entity/784320171 & http://id.who.int/icd/entity/1209596839,=,QD0Y & XN41M
21,HCキャリア,S1,Z225,FNNS,=,http://id.who.int/icd/entity/784320171 & http://id.who.int/icd/entity/1209596839,=,QD0Y & XN41M
21,ＨＥＶキャリア,L,Z225,GKJG,=,http://id.who.int/icd/entity/784320171 & http://id.who.int/icd/entity/145341346,=,QD0Y & XN7TG
